Annee,R2,Elasticite
1962,0.933496293975166,0.9568072721700139
1963,0.9349603238065257,0.9532344474391043
1964,0.9409845711803183,0.9487011652399269
1965,0.9458080401128686,0.9534915488588921
1966,0.9488936482024312,0.9567391557345198
1967,0.949730181328405,0.9593447599001026
1968,0.9366595207259308,0.9955409613399281
1969,0.9412842234671378,1.0012056453788645
1970,0.9483551548362271,0.9931821829131865
1971,0.8958357766520267,0.9577816896001069
1972,0.8955930766987005,0.9577857474026429
1973,0.884202729876616,0.9615591157596894
1974,0.8524751755968872,0.9237586097776299
1975,0.8637627489317344,0.9446966471159308
1976,0.8666559475562322,0.944413524865547
1977,0.870021033511848,0.957949647180901
1978,0.867428117792106,0.9644007093873812
1979,0.8617713467229066,0.9644910549927493
1980,0.8475626933342398,0.9596639161368238
1981,0.8653577231385979,0.9745872114917297
1982,0.8773914503578293,0.9844272675945736
1983,0.8788953770435418,0.981401751753691
1984,0.8814143460963327,0.9897263711994196
1985,0.8794478413873369,0.9948051481114577
1986,0.8695189165918189,1.0083914371264353
1987,0.850534838457083,0.9990703360781131
1988,0.8490068069120839,1.0063385775272249
1989,0.8437430271659754,1.0193887586943848
1990,0.8577238727799885,0.8613689946691166
1991,0.7425942180793956,0.9925695554508358
1992,0.7270547341200851,1.026295643582596
1993,0.7552916844229786,1.0359074074318415
1994,0.7682477225605475,1.0607693124290798
1995,0.7846196680873342,1.0637957607487607
1996,0.7911874986932282,1.0634179022574122
1997,0.8012448491509132,1.0639337375458342
1998,0.8054350720266937,1.058343653109102
1999,0.7998520439554782,1.0507004289550266
2000,0.8176922104302842,1.0531426911269421
2001,0.8258585346843444,1.0530489083915502
2002,0.823816248001387,1.0436052469002408
2003,0.819755957104594,1.0406391034879638
2004,0.8720480054777944,0.8889426266428431
2005,0.8807703225440499,0.8965761049276925
2006,0.8876654964591865,0.8994241481348582
2007,0.8927477767298637,0.9070445941496676
2008,0.8564978753887612,1.0442233336337767
2009,0.8631671601140515,1.0384353881087927
2010,0.8718309530497411,1.0417197464658685
2011,0.8687524673477253,1.0449254820711302
2012,0.8708433248137794,1.0298564550794749
2013,0.8648806558598936,1.021660347100226
2014,0.8599878019631896,1.0198520781710259
2015,0.8576376197810153,1.0167124457270589
2016,0.8547499141891147,1.0304875385721248
2017,0.8535393763096774,1.0206277414986606
2018,0.8496960992379463,1.0166459276844866
2019,0.8538647960162682,1.0208066761740977
2020,0.8373773771879588,1.0156438597038284
2021,0.8376561397994099,1.017789150038568
2022,0.8448195014696648,1.0137833127222537
